Response ID,Question ID,Answer,is_AI
25,human_q3 - Click to write Choice 1,4,0
26,human_q3 - Click to write Choice 1,5,0
29,human_q3 - Click to write Choice 1,5,0
35,human_q3 - Click to write Choice 1,4,0
37,human_q3 - Click to write Choice 1,5,0
40,human q4 - Click to write Choice 1,4,0
39,human q4 - Click to write Choice 1,2,0
7,human q4 - Click to write Choice 1,3,0
9,human q4 - Click to write Choice 1,2,0
11,human q4 - Click to write Choice 1,5,0
12,human q4 - Click to write Choice 1,5,0
13,human q4 - Click to write Choice 1,3,0
15,human q4 - Click to write Choice 1,5,0
16,human q4 - Click to write Choice 1,3,0
17,human q4 - Click to write Choice 1,2,0
20,human q4 - Click to write Choice 1,5,0
22,human q4 - Click to write Choice 1,3,0
23,human q4 - Click to write Choice 1,3,0
24,human q4 - Click to write Choice 1,5,0
25,human q4 - Click to write Choice 1,2,0
26,human q4 - Click to write Choice 1,4,0
29,human q4 - Click to write Choice 1,4,0
35,human q4 - Click to write Choice 1,2,0
37,human q4 - Click to write Choice 1,2,0
39,Human q5 - Click to write Choice 1,4,0
7,Human q5 - Click to write Choice 1,2,0
9,Human q5 - Click to write Choice 1,3,0
11,Human q5 - Click to write Choice 1,5,0
12,Human q5 - Click to write Choice 1,1,0
13,Human q5 - Click to write Choice 1,3,0
15,Human q5 - Click to write Choice 1,5,0
16,Human q5 - Click to write Choice 1,2,0
17,Human q5 - Click to write Choice 1,5,0
20,Human q5 - Click to write Choice 1,3,0
22,Human q5 - Click to write Choice 1,2,0
23,Human q5 - Click to write Choice 1,5,0
24,Human q5 - Click to write Choice 1,5,0
25,Human q5 - Click to write Choice 1,3,0
26,Human q5 - Click to write Choice 1,4,0
29,Human q5 - Click to write Choice 1,5,0
35,Human q5 - Click to write Choice 1,4,0
37,Human q5 - Click to write Choice 1,2,0
40,human q6 - Click to write Choice 1,3,0
7,human q6 - Click to write Choice 1,4,0
9,human q6 - Click to write Choice 1,3,0
11,human q6 - Click to write Choice 1,5,0
12,human q6 - Click to write Choice 1,1,0
13,human q6 - Click to write Choice 1,2,0
15,human q6 - Click to write Choice 1,5,0
16,human q6 - Click to write Choice 1,5,0
17,human q6 - Click to write Choice 1,4,0
20,human q6 - Click to write Choice 1,5,0
22,human q6 - Click to write Choice 1,5,0
23,human q6 - Click to write Choice 1,3,0
24,human q6 - Click to write Choice 1,5,0
25,human q6 - Click to write Choice 1,4,0
26,human q6 - Click to write Choice 1,5,0
29,human q6 - Click to write Choice 1,5,0
35,human q6 - Click to write Choice 1,1,0
37,human q6 - Click to write Choice 1,4,0
7,AI q7 - Click to write Choice 1,2,1
9,AI q7 - Click to write Choice 1,3,1
11,AI q7 - Click to write Choice 1,5,1
12,AI q7 - Click to write Choice 1,5,1
13,AI q7 - Click to write Choice 1,1,1
15,AI q7 - Click to write Choice 1,5,1
16,AI q7 - Click to write Choice 1,3,1
17,AI q7 - Click to write Choice 1,1,1
20,AI q7 - Click to write Choice 1,4,1
22,AI q7 - Click to write Choice 1,4,1
23,AI q7 - Click to write Choice 1,3,1
24,AI q7 - Click to write Choice 1,5,1
25,AI q7 - Click to write Choice 1,4,1
26,AI q7 - Click to write Choice 1,5,1
29,AI q7 - Click to write Choice 1,5,1
35,AI q7 - Click to write Choice 1,4,1
37,AI q7 - Click to write Choice 1,3,1
7,AI q8 - Click to write Choice 1,3,1
9,AI q8 - Click to write Choice 1,2,1
11,AI q8 - Click to write Choice 1,5,1
12,AI q8 - Click to write Choice 1,1,1
13,AI q8 - Click to write Choice 1,5,1
15,AI q8 - Click to write Choice 1,5,1
16,AI q8 - Click to write Choice 1,4,1
17,AI q8 - Click to write Choice 1,1,1
20,AI q8 - Click to write Choice 1,5,1
22,AI q8 - Click to write Choice 1,5,1
23,AI q8 - Click to write Choice 1,3,1
24,AI q8 - Click to write Choice 1,5,1
25,AI q8 - Click to write Choice 1,3,1
26,AI q8 - Click to write Choice 1,3,1
29,AI q8 - Click to write Choice 1,4,1
35,AI q8 - Click to write Choice 1,3,1
37,AI q8 - Click to write Choice 1,5,1
39,human q2 - Click to write Choice 1,4,0
6,human q2 - Click to write Choice 1,1,0
8,human q2 - Click to write Choice 1,1,0
10,human q2 - Click to write Choice 1,1,0
14,human q2 - Click to write Choice 1,1,0
18,human q2 - Click to write Choice 1,4,0
19,human q2 - Click to write Choice 1,4,0
21,human q2 - Click to write Choice 1,4,0
27,human q2 - Click to write Choice 1,5,0
28,human q2 - Click to write Choice 1,5,0
30,human q2 - Click to write Choice 1,2,0
31,human q2 - Click to write Choice 1,5,0
32,human q2 - Click to write Choice 1,2,0
33,human q2 - Click to write Choice 1,5,0
34,human q2 - Click to write Choice 1,2,0
36,human q2 - Click to write Choice 1,4,0
38,human q2 - Click to write Choice 1,5,0
6,AI q3 - Click to write Choice 1,5,1
8,AI q3 - Click to write Choice 1,2,1
10,AI q3 - Click to write Choice 1,3,1
14,AI q3 - Click to write Choice 1,4,1
18,AI q3 - Click to write Choice 1,5,1
19,AI q3 - Click to write Choice 1,2,1
21,AI q3 - Click to write Choice 1,4,1
27,AI q3 - Click to write Choice 1,5,1
28,AI q3 - Click to write Choice 1,4,1
30,AI q3 - Click to write Choice 1,3,1
31,AI q3 - Click to write Choice 1,5,1
32,AI q3 - Click to write Choice 1,2,1
33,AI q3 - Click to write Choice 1,4,1
34,AI q3 - Click to write Choice 1,4,1
36,AI q3 - Click to write Choice 1,3,1
38,AI q3 - Click to write Choice 1,4,1
6,AI q4 - Click to write Choice 1,5,1
8,AI q4 - Click to write Choice 1,3,1
10,AI q4 - Click to write Choice 1,1,1
14,AI q4 - Click to write Choice 1,1,1
18,AI q4 - Click to write Choice 1,3,1
19,AI q4 - Click to write Choice 1,1,1
21,AI q4 - Click to write Choice 1,1,1
27,AI q4 - Click to write Choice 1,4,1
28,AI q4 - Click to write Choice 1,2,1
30,AI q4 - Click to write Choice 1,3,1
31,AI q4 - Click to write Choice 1,5,1
32,AI q4 - Click to write Choice 1,4,1
33,AI q4 - Click to write Choice 1,5,1
34,AI q4 - Click to write Choice 1,2,1
36,AI q4 - Click to write Choice 1,2,1
38,AI q4 - Click to write Choice 1,5,1
6,AI q5 - Click to write Choice 1,2,1
8,AI q5 - Click to write Choice 1,5,1
10,AI q5 - Click to write Choice 1,1,1
14,AI q5 - Click to write Choice 1,3,1
18,AI q5 - Click to write Choice 1,3,1
19,AI q5 - Click to write Choice 1,1,1
21,AI q5 - Click to write Choice 1,4,1
27,AI q5 - Click to write Choice 1,4,1
28,AI q5 - Click to write Choice 1,2,1
30,AI q5 - Click to write Choice 1,3,1
31,AI q5 - Click to write Choice 1,5,1
32,AI q5 - Click to write Choice 1,4,1
33,AI q5 - Click to write Choice 1,5,1
34,AI q5 - Click to write Choice 1,4,1
36,AI q5 - Click to write Choice 1,4,1
38,AI q5 - Click to write Choice 1,3,1
6,AI q6 - Click to write Choice 1,5,1
8,AI q6 - Click to write Choice 1,5,1
10,AI q6 - Click to write Choice 1,2,1
14,AI q6 - Click to write Choice 1,1,1
18,AI q6 - Click to write Choice 1,5,1
19,AI q6 - Click to write Choice 1,2,1
21,AI q6 - Click to write Choice 1,4,1
27,AI q6 - Click to write Choice 1,5,1
28,AI q6 - Click to write Choice 1,3,1
30,AI q6 - Click to write Choice 1,2,1
31,AI q6 - Click to write Choice 1,5,1
32,AI q6 - Click to write Choice 1,3,1
33,AI q6 - Click to write Choice 1,5,1
34,AI q6 - Click to write Choice 1,4,1
36,AI q6 - Click to write Choice 1,2,1
38,AI q6 - Click to write Choice 1,5,1
40,human q7 - Click to write Choice 1,3,0
39,human q7 - Click to write Choice 1,3,0
6,human q7 - Click to write Choice 1,4,0
8,human q7 - Click to write Choice 1,5,0
10,human q7 - Click to write Choice 1,3,0
14,human q7 - Click to write Choice 1,1,0
18,human q7 - Click to write Choice 1,5,0
19,human q7 - Click to write Choice 1,5,0
21,human q7 - Click to write Choice 1,4,0
27,human q7 - Click to write Choice 1,5,0
28,human q7 - Click to write Choice 1,1,0
30,human q7 - Click to write Choice 1,1,0
31,human q7 - Click to write Choice 1,5,0
32,human q7 - Click to write Choice 1,2,0
33,human q7 - Click to write Choice 1,5,0
34,human q7 - Click to write Choice 1,4,0
36,human q7 - Click to write Choice 1,4,0
38,human q7 - Click to write Choice 1,5,0
39,human q8 - Click to write Choice 1,4,0
6,human q8 - Click to write Choice 1,3,0
8,human q8 - Click to write Choice 1,2,0
10,human q8 - Click to write Choice 1,3,0
14,human q8 - Click to write Choice 1,2,0
18,human q8 - Click to write Choice 1,4,0
19,human q8 - Click to write Choice 1,5,0
21,human q8 - Click to write Choice 1,2,0
27,human q8 - Click to write Choice 1,1,0
28,human q8 - Click to write Choice 1,1,0
30,human q8 - Click to write Choice 1,2,0
31,human q8 - Click to write Choice 1,5,0
32,human q8 - Click to write Choice 1,5,0
33,human q8 - Click to write Choice 1,3,0
34,human q8 - Click to write Choice 1,4,0
36,human q8 - Click to write Choice 1,2,0
38,human q8 - Click to write Choice 1,5,0
6,AI q1 - Click to write Choice 1,4,1
8,AI q1 - Click to write Choice 1,5,1
10,AI q1 - Click to write Choice 1,4,1
14,AI q1 - Click to write Choice 1,2,1
18,AI q1 - Click to write Choice 1,4,1
19,AI q1 - Click to write Choice 1,5,1
21,AI q1 - Click to write Choice 1,4,1
27,AI q1 - Click to write Choice 1,5,1
28,AI q1 - Click to write Choice 1,3,1
30,AI q1 - Click to write Choice 1,3,1
31,AI q1 - Click to write Choice 1,5,1
32,AI q1 - Click to write Choice 1,4,1
33,AI q1 - Click to write Choice 1,5,1
34,AI q1 - Click to write Choice 1,5,1
36,AI q1 - Click to write Choice 1,2,1
38,AI q1 - Click to write Choice 1,3,1
